  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |              Mumbai Cst                |        CSTM        |     Start     |     23:30     |       -       |        0 KM        |    1     
  2   |                 Dadar                  |         DR         |     23:42     |     23:45     |     3:00      |        9 KM        |    1     
  3   |                 Thane                  |        TNA         |     00:07     |     00:10     |     3:00      |       34 KM        |    2     
  4   |            Kalyan Junction             |        KYN         |     00:30     |     00:33     |     3:00      |       54 KM        |    2     
  5   |                Kasara                  |        KSRA        |     01:38     |     01:40     |     2:00      |       121 KM       |    2     
  6   |               Igatpuri                 |        IGP         |     02:18     |     02:20     |     2:00      |       137 KM       |    2     
  7   |                Devlali                 |        DVL         |     03:03     |     03:05     |     2:00      |       182 KM       |    2     
  8   |              Nasik Road                |         NK         |     03:13     |     03:15     |     2:00      |       188 KM       |    2     
  9   |            Manmad Junction             |        MMR         |     04:02     |     04:05     |     3:00      |       261 KM       |    2     
  10  |          Chalisgaon Junction           |        CSN         |     04:58     |     05:00     |     2:00      |       328 KM       |    2     
  11  |           Pachora Junction             |         PC         |     05:28     |     05:30     |     2:00      |       373 KM       |    2     
  12  |           Jalgaon Junction             |         JL         |     06:03     |     06:05     |     2:00      |       420 KM       |    2     
  13  |           Bhusaval Junction            |        BSL         |     06:30     |     06:45     |     15:00     |       445 KM       |    2     
  14  |                 Savda                  |        SAV         |     07:03     |     07:05     |     2:00      |       460 KM       |    2     
  15  |               Nimbhora                 |         NB         |     07:10     |     07:12     |     2:00      |       469 KM       |    2     
  16  |                 Raver                  |         RV         |     07:20     |     07:22     |     2:00      |       479 KM       |    2     
  17  |               Burhanpur                |        BAU         |     07:38     |     07:40     |     2:00      |       499 KM       |    2     
  18  |               Nepanagar                |        NPNR        |     08:00     |     08:02     |     2:00      |       526 KM       |    2     
  19  |                Khandwa                 |        KNW         |     09:25     |     09:30     |     5:00      |       568 KM       |    2     
  20  |               Talvadya                 |        TLV         |     09:43     |     09:45     |     2:00      |       584 KM       |    2     
  21  |               Chhanera                 |        CAER        |     10:03     |     10:05     |     2:00      |       613 KM       |    2     
  22  |               Khirkiya                 |        KKN         |     10:26     |     10:28     |     2:00      |       644 KM       |    2     
  23  |                 Harda                  |         HD         |     10:53     |     10:55     |     2:00      |       676 KM       |    2     
  24  |                Timarni                 |        TBN         |     11:20     |     11:22     |     2:00      |       690 KM       |    2     
  25  |               Banapura                 |        BPF         |     12:04     |     12:06     |     2:00      |       718 KM       |    2     
  26  |            Itarsi Junction             |         ET         |     12:45     |     12:50     |     5:00      |       752 KM       |    2     
  27  |              Hoshangabad               |        HBD         |     13:06     |     13:08     |     2:00      |       769 KM       |    2     
