  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |            Howrah Junction             |        HWH         |     Start     |     19:10     |       -       |        0 KM        |    1     
  2   |          Barddhaman Junction           |        BWN         |     20:16     |     20:21     |     5:00      |       95 KM        |    1     
  3   |               Durgapur                 |        DGR         |     21:11     |     21:14     |     3:00      |       158 KM       |    1     
  4   |               Raniganj                 |        RNG         |     21:30     |     21:31     |     1:00      |       182 KM       |    1     
  5   |           Asansol Junction             |        ASN         |     21:49     |     21:54     |     5:00      |       200 KM       |    1     
  6   |             Chittaranjan               |        CRJ         |     22:18     |     22:19     |     1:00      |       225 KM       |    1     
  7   |           Madhupur Junction            |        MDP         |     22:58     |     23:02     |     4:00      |       282 KM       |    1     
  8   |           Jasidih Junction             |        JSME        |     23:27     |     23:31     |     4:00      |       311 KM       |    1     
  9   |                Jhajha                  |        JAJ         |     00:45     |     00:50     |     5:00      |       355 KM       |    2     
  10  |             Kiul Junction              |        KIUL        |     01:27     |     01:32     |     5:00      |       409 KM       |    2     
  11  |           Mokameh Junction             |        MKA         |     02:08     |     02:10     |     2:00      |       443 KM       |    2     
  12  |         Bakhtiyarpur Junction          |        BKP         |     02:48     |     02:50     |     2:00      |       486 KM       |    2     
  13  |              Patna Saheb               |        PNC         |     03:27     |     03:29     |     2:00      |       522 KM       |    2     
  14  |            Patna Junction              |        PNBE        |     04:10     |     04:20     |     10:00     |       532 KM       |    2     
  15  |                Danapur                 |        DNR         |     04:35     |     04:37     |     2:00      |       541 KM       |    2     
  16  |                  Ara                   |        ARA         |     05:06     |     05:11     |     5:00      |       581 KM       |    2     
  17  |                Dumraon                 |        DURE        |     05:42     |     05:43     |     1:00      |       633 KM       |    2     
  18  |                 Buxar                  |        BXR         |     05:59     |     06:03     |     4:00      |       649 KM       |    2     
  19  |                Gahmar                  |        GMR         |     06:21     |     06:22     |     1:00      |       670 KM       |    2     
  20  |         Dildarnagar Junction           |        DLN         |     06:36     |     06:38     |     2:00      |       686 KM       |    2     
  21  |                Zamania                 |        ZNA         |     06:47     |     06:49     |     2:00      |       699 KM       |    2     
  22  |         Mughal Sarai Junction          |        MGS         |     08:07     |     08:27     |     20:00     |       744 KM       |    2     
  23  |                 Kashi                  |        KEI         |     08:55     |     08:56     |     1:00      |       755 KM       |    2     
  24  |           Varanasi Junction            |        BSB         |     09:12     |     09:27     |     15:00     |       760 KM       |    2     
  25  |                Bhadohi                 |        BOY         |     10:04     |     10:05     |     1:00      |       805 KM       |    2     
  26  |           Janghai Junction             |        JNH         |     10:33     |     10:34     |     1:00      |       835 KM       |    2     
