  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |         Muzaffarpur Junction           |        MFP         |     Start     |     06:00     |       -       |        0 KM        |    1     
  2   |                Motipur                 |        MTR         |     06:22     |     06:24     |     2:00      |       27 KM        |    1     
  3   |                 Mehsi                  |        MAI         |     06:35     |     06:37     |     2:00      |       40 KM        |    1     
  4   |                Chakia                  |        CAA         |     06:46     |     06:48     |     2:00      |       48 KM        |    1     
  5   |            Bapudm Motihari             |        BMKI        |     07:43     |     07:48     |     5:00      |       80 KM        |    1     
  6   |           Sagauli Junction             |        SGL         |     08:10     |     08:15     |     5:00      |       101 KM       |    1     
  7   |                Bettiah                 |        BTH         |     08:35     |     08:37     |     2:00      |       123 KM       |    1     
  8   |         Narkatiaganj Junction          |        NKE         |     09:10     |     09:15     |     5:00      |       160 KM       |    1     
  9   |               Harinagar                |        HIR         |     09:30     |     09:31     |     1:00      |       175 KM       |    1     
  10  |                Bagaha                  |        BUG         |     09:57     |     10:02     |     5:00      |       201 KM       |    1     
  11  |               Paniahwa                 |        PNYA        |     10:49     |     10:50     |     1:00      |       224 KM       |    1     
  12  |                 Khada                  |        KZA         |     10:59     |     11:01     |     2:00      |       230 KM       |    1     
  13  |              Siswa Bazar               |        SBZ         |     11:15     |     11:17     |     2:00      |       245 KM       |    1     
  14  |          Kaptanganj Junction           |        CPJ         |     11:41     |     11:46     |     5:00      |       271 KM       |    1     
  15  |               Pipraich                 |        PPC         |     12:11     |     12:13     |     2:00      |       290 KM       |    1     
  16  |          Gorakhpur Junction            |        GKP         |     13:05     |     13:20     |     15:00     |       310 KM       |    1     
  17  |               Sahjanwa                 |        SWA         |     13:48     |     13:50     |     2:00      |       327 KM       |    1     
  18  |                Maghar                  |        MHH         |     14:00     |     14:02     |     2:00      |       336 KM       |    1     
  19  |              Khalilabad                |        KLD         |     14:12     |     14:14     |     2:00      |       344 KM       |    1     
  20  |                 Basti                  |        BST         |     14:40     |     14:45     |     5:00      |       374 KM       |    1     
  21  |                Babhnan                 |         BV         |     15:08     |     15:10     |     2:00      |       405 KM       |    1     
  22  |               Maskanwa                 |        MSW         |     15:24     |     15:26     |     2:00      |       421 KM       |    1     
  23  |           Mankapur Junction            |        MUR         |     15:44     |     15:46     |     2:00      |       435 KM       |    1     
  24  |            Gonda Junction              |         GD         |     16:20     |     16:35     |     15:00     |       464 KM       |    1     
  25  |              Colonelganj               |        CLJ         |     16:58     |     17:00     |     2:00      |       492 KM       |    1     
  26  |              Jarwal Road               |        JLD         |     17:17     |     17:19     |     2:00      |       509 KM       |    1     
  27  |                Burhwal                 |        BUW         |     17:40     |     17:42     |     2:00      |       524 KM       |    1     
  28  |          Barabanki Junction            |        BBK         |     18:14     |     18:16     |     2:00      |       552 KM       |    1     
  29  |             Gomati Nagar               |        GTNR        |     18:54     |     18:55     |     1:00      |       572 KM       |    1     
  30  |             Badshahnagar               |        BNZ         |     19:00     |     19:05     |     5:00      |       576 KM       |    1     
  31  |             Lucknow City               |         LC         |     19:40     |     19:41     |     1:00      |       583 KM       |    1     
  32  |              Lucknow Ne                |        LJN         |     20:15     |     20:55     |     40:00     |       588 KM       |    1     
  33  |            Unnao Junction              |         ON         |     21:49     |     21:50     |     1:00      |       644 KM       |    1     
