  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |           Bikaner Junction             |        BKN         |     Start     |     13:40     |       -       |        0 KM        |    1     
  2   |                Nagaur                  |        NGO         |     15:23     |     15:25     |     2:00      |       116 KM       |    1     
  3   |           Jodhpur Junction             |         JU         |     18:00     |     18:15     |     15:00     |       278 KM       |    1     
  4   |             Luni Junction              |        LUNI        |     18:44     |     18:47     |     3:00      |       309 KM       |    1     
  5   |           Samdhari Junction            |        SMR         |     19:46     |     20:08     |     22:00     |       358 KM       |    1     
  6   |               Mokalsar                 |        MKSR        |     20:26     |     20:28     |     2:00      |       384 KM       |    1     
  7   |                 Jalor                  |        JOR         |     20:56     |     20:58     |     2:00      |       417 KM       |    1     
  8   |                Modran                  |        MON         |     21:31     |     21:33     |     2:00      |       451 KM       |    1     
  9   |            Marwar Bhinmal              |        MBNL        |     22:02     |     22:04     |     2:00      |       479 KM       |    1     
  10  |               Raniwara                 |        RNV         |     22:40     |     22:42     |     2:00      |       511 KM       |    1     
  11  |                Dhanera                 |        DQN         |     23:21     |     23:23     |     2:00      |       546 KM       |    1     
  12  |                Bhildi                  |        BLDI        |     00:10     |     00:30     |     20:00     |       581 KM       |    2     
  13  |           Palanpur Junction            |        PNU         |     01:38     |     01:40     |     2:00      |       627 KM       |    2     
  14  |          Ahmedabad Junction            |        ADI         |     04:10     |     04:30     |     20:00     |       760 KM       |    2     
  15  |            Nadiad Junction             |         ND         |     05:21     |     05:23     |     2:00      |       805 KM       |    2     
  16  |            Anand Junction              |        ANND        |     05:37     |     05:39     |     2:00      |       823 KM       |    2     
  17  |           Vadodara Junction            |        BRC         |     06:21     |     06:26     |     5:00      |       859 KM       |    2     
  18  |                 Surat                  |         ST         |     08:15     |     08:20     |     5:00      |       988 KM       |    2     
  19  |               Borivali                 |        BVI         |     11:24     |     11:26     |     2:00      |      1221 KM       |    2     
  20  |                 Dadar                  |        DDR         |     12:00     |     Ends      |       -       |      1245 KM       |    2     
