  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |          Coimbatore Junction           |        CBE         |     Start     |     20:30     |       -       |        0 KM        |    1     
  2   |               Tiruppur                 |        TUP         |     21:08     |     21:10     |     2:00      |       51 KM        |    1     
  3   |            Erode Junction              |         ED         |     22:00     |     22:10     |     10:00     |       101 KM       |    1     
  4   |                Pugalur                 |        PGR         |     23:03     |     23:05     |     2:00      |       151 KM       |    1     
  5   |                 Karur                  |        KRR         |     23:37     |     23:40     |     3:00      |       166 KM       |    1     
  6   |           Dindigul Junction            |         DG         |     00:55     |     01:00     |     5:00      |       240 KM       |    2     
  7   |           Madurai Junction             |        MDU         |     02:00     |     02:05     |     5:00      |       306 KM       |    2     
  8   |         Virudunagar Junction           |        VPT         |     02:48     |     02:50     |     2:00      |       350 KM       |    2     
  9   |                 Satur                  |        SRT         |     03:14     |     03:15     |     1:00      |       376 KM       |    2     
  10  |              Kovilpatti                |        CVP         |     03:36     |     03:37     |     1:00      |       398 KM       |    2     
  11  |         Maniyachchi Junction           |        MEJ         |     04:10     |     05:10     |     60:00     |       434 KM       |    2     
  12  |              Milavittan                |        MVN         |     05:34     |     05:35     |     1:00      |       457 KM       |    2     
  13  |              Tuti Melur                |        TME         |     05:44     |     05:45     |     1:00      |       464 KM       |    2     
  14  |               Tuticorin                |         TN         |     06:10     |     Ends      |       -       |       465 KM       |    2     
