  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |            Delhi S Rohilla             |        DEE         |     Start     |     08:20     |       -       |        0 KM        |    1     
  2   |              Delhi Cantt               |        DEC         |     08:36     |     08:38     |     2:00      |       10 KM        |    1     
  3   |                 Palam                  |         PM         |     08:46     |     08:48     |     2:00      |       14 KM        |    1     
  4   |                Gurgaon                 |        GGN         |     08:59     |     09:01     |     2:00      |       27 KM        |    1     
  5   |             Garhi Harsaru              |        GHH         |     09:10     |     09:12     |     2:00      |       37 KM        |    1     
  6   |                Rewari                  |         RE         |     10:00     |     10:05     |     5:00      |       78 KM        |    1     
  7   |               Khairthal                |        KRH         |     10:39     |     10:41     |     2:00      |       126 KM       |    1     
  8   |                 Alwar                  |        AWR         |     11:07     |     11:10     |     3:00      |       153 KM       |    1     
  9   |                Jaipur                  |         JP         |     13:10     |     13:25     |     15:00     |       303 KM       |    1     
  10  |           Phulera Junction             |         FL         |     14:05     |     14:07     |     2:00      |       358 KM       |    1     
  11  |              Kishangarh                |        KSG         |     14:44     |     14:46     |     2:00      |       409 KM       |    1     
  12  |            Ajmer Junction              |        AII         |     15:50     |     16:00     |     10:00     |       438 KM       |    1     
  13  |                Beawar                  |        BER         |     16:50     |     16:52     |     2:00      |       490 KM       |    1     
  14  |                Sendra                  |        SEU         |     17:05     |     17:07     |     2:00      |       504 KM       |    1     
  15  |            Marwar Junction             |         MJ         |     18:52     |     18:55     |     3:00      |       578 KM       |    1     
  16  |                 Falna                  |         FA         |     19:43     |     19:45     |     2:00      |       644 KM       |    1     
  17  |               Abu Road                 |        ABR         |     21:55     |     22:05     |     10:00     |       743 KM       |    1     
  18  |           Palanpur Junction            |        PNU         |     23:15     |     23:17     |     2:00      |       796 KM       |    1     
  19  |           Mahesana Junction            |        MSH         |     00:13     |     00:14     |     1:00      |       861 KM       |    2     
  20  |          Ahmedabad Junction            |        ADI         |     02:10     |     02:40     |     30:00     |       929 KM       |    2     
  21  |           Viramgam Junction            |         VG         |     04:13     |     04:15     |     2:00      |       994 KM       |    2     
  22  |             Surendranagar              |        SUNR        |     05:31     |     05:33     |     2:00      |      1059 KM       |    2     
  23  |           Wankaner Junction            |        WKR         |     06:53     |     06:55     |     2:00      |      1134 KM       |    2     
  24  |            Rajkot Junction             |        RJT         |     08:00     |     08:15     |     15:00     |      1175 KM       |    2     
  25  |                 Hapa                   |        HAPA        |     09:43     |     09:45     |     2:00      |      1252 KM       |    2     
  26  |               Jamnagar                 |        JAM         |     09:55     |     10:00     |     5:00      |      1260 KM       |    2     
  27  |              Lalpur Jam                |        LPJ         |     10:48     |     10:50     |     2:00      |      1303 KM       |    2     
  28  |                Bhanvad                 |        BNVD        |     11:24     |     11:26     |     2:00      |      1340 KM       |    2     
  29  |              Wansjaliya                |        WSJ         |     12:00     |     12:10     |     10:00     |      1358 KM       |    2     
  30  |               Porbandar                |        PBR         |     12:55     |     Ends      |       -       |      1392 KM       |    2     
