  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |           Bhusaval Junction            |        BSL         |     Start     |     05:40     |       -       |        0 KM        |    1     
  2   |               Malkapur                 |        MKU         |     06:23     |     06:25     |     2:00      |       51 KM        |    1     
  3   |                Shegaon                 |        SEG         |     07:00     |     07:02     |     2:00      |       103 KM       |    1     
  4   |            Akola Junction              |         AK         |     07:30     |     07:35     |     5:00      |       140 KM       |    1     
  5   |           Badnera Junction             |         BD         |     08:40     |     08:45     |     5:00      |       219 KM       |    1     
  6   |              Dhamangaon                |        DMN         |     09:30     |     09:32     |     2:00      |       265 KM       |    1     
  7   |           Pulgaon Junction             |        PLO         |     09:43     |     09:45     |     2:00      |       285 KM       |    1     
  8   |            Wardha Junction             |         WR         |     10:25     |     10:28     |     3:00      |       314 KM       |    1     
  9   |                Nagpur                  |        NGP         |     12:45     |     13:00     |     15:00     |       393 KM       |    1     
  10  |                 Katol                  |        KATL        |     13:48     |     13:50     |     2:00      |       454 KM       |    1     
  11  |                Narkher                 |        NRKR        |     14:08     |     14:10     |     2:00      |       479 KM       |    1     
  12  |               Pandhurna                |        PAR         |     14:28     |     14:30     |     2:00      |       497 KM       |    1     
  13  |                Multai                  |        MTY         |     15:12     |     15:14     |     2:00      |       538 KM       |    1     
  14  |             Amla Junction              |        AMLA        |     15:36     |     15:38     |     2:00      |       561 KM       |    1     
  15  |                 Betul                  |        BZU         |     15:53     |     15:55     |     2:00      |       583 KM       |    1     
  16  |              Ghoradongri               |        GDYA        |     16:36     |     16:38     |     2:00      |       620 KM       |    1     
  17  |            Itarsi Junction             |         ET         |     17:45     |     17:50     |     5:00      |       690 KM       |    1     
  18  |              Hoshangabad               |        HBD         |     18:08     |     18:10     |     2:00      |       708 KM       |    1     
  19  |           Bhopal  Junction             |        BPL         |     19:45     |     19:50     |     5:00      |       782 KM       |    1     
  20  |                Vidisha                 |        BHS         |     20:27     |     20:29     |     2:00      |       835 KM       |    1     
  21  |              Ganj Basoda               |        BAQ         |     21:00     |     21:02     |     2:00      |       875 KM       |    1     
  22  |             Bina Junction              |        BINA        |     22:00     |     22:05     |     5:00      |       920 KM       |    1     
  23  |               Lalitpur                 |        LAR         |     22:59     |     23:01     |     2:00      |       983 KM       |    1     
  24  |            Jhansi Junction             |        JHS         |     00:40     |     00:50     |     10:00     |      1073 KM       |    2     
  25  |                Gwalior                 |        GWL         |     02:27     |     02:30     |     3:00      |      1170 KM       |    2     
  26  |              Agra Cantt                |        AGC         |     04:15     |     04:18     |     3:00      |      1288 KM       |    2     
  27  |           Mathura Junction             |        MTJ         |     05:08     |     05:10     |     2:00      |      1342 KM       |    2     
  28  |             H Nizamuddin               |        NZM         |     07:20     |     Ends      |       -       |      1476 KM       |    2     
