  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |                 Okha                   |        OKHA        |     Start     |     19:15     |       -       |        0 KM        |    1     
  2   |                Dwarka                  |        DWK         |     19:53     |     19:55     |     2:00      |       29 KM        |    1     
  3   |              Khambhaliya               |        KMBL        |     21:08     |     21:10     |     2:00      |       114 KM       |    1     
  4   |               Jamnagar                 |        JAM         |     22:04     |     22:06     |     2:00      |       168 KM       |    1     
  5   |                 Hapa                   |        HAPA        |     22:23     |     22:25     |     2:00      |       177 KM       |    1     
  6   |            Rajkot Junction             |        RJT         |     23:50     |     23:55     |     5:00      |       253 KM       |    1     
  7   |           Wankaner Junction            |        WKR         |     00:42     |     00:44     |     2:00      |       294 KM       |    2     
  8   |             Surendranagar              |        SUNR        |     02:11     |     02:13     |     2:00      |       369 KM       |    2     
  9   |           Viramgam Junction            |         VG         |     03:21     |     03:23     |     2:00      |       434 KM       |    2     
  10  |          Ahmedabad Junction            |        ADI         |     04:35     |     04:45     |     10:00     |       499 KM       |    2     
  11  |            Anand Junction              |        ANND        |     06:17     |     06:19     |     2:00      |       563 KM       |    2     
  12  |           Vadodara Junction            |        BRC         |     07:02     |     07:32     |     30:00     |       599 KM       |    2     
  13  |            Godhra Junction             |        GDA         |     08:38     |     08:40     |     2:00      |       673 KM       |    2     
  14  |            Ratlam Junction             |        RTM         |     11:30     |     11:50     |     20:00     |       861 KM       |    2     
  15  |            Nagda Junction              |        NAD         |     12:35     |     12:40     |     5:00      |       902 KM       |    2     
  16  |            Ujjain Junction             |        UJN         |     14:25     |     15:00     |     35:00     |       957 KM       |    2     
  17  |                 Maksi                  |        MKC         |     15:48     |     15:50     |     2:00      |       998 KM       |    2     
  18  |               Shajapur                 |        SFY         |     16:16     |     16:18     |     2:00      |      1026 KM       |    2     
  19  |            Biyavra Rajgarh             |        BRRG        |     17:43     |     17:45     |     2:00      |      1115 KM       |    2     
  20  |               Ruthiyai                 |        RTA         |     19:25     |     19:30     |     5:00      |      1191 KM       |    2     
  21  |                 Guna                   |        GUNA        |     20:10     |     20:20     |     10:00     |      1212 KM       |    2     
  22  |              Ashok Nagar               |        ASKN        |     21:13     |     21:15     |     2:00      |      1256 KM       |    2     
  23  |               Mungaoli                 |        MNV         |     21:58     |     22:00     |     2:00      |      1302 KM       |    2     
  24  |             Bina Junction              |        BINA        |     23:55     |     00:20     |     25:00     |      1330 KM       |    3     
  25  |            Jhansi Junction             |        JHS         |     03:00     |     03:15     |     15:00     |      1483 KM       |    3     
  26  |                Gwalior                 |        GWL         |     04:28     |     04:30     |     2:00      |      1580 KM       |    3     
  27  |                Morena                  |        MRA         |     04:55     |     04:57     |     2:00      |      1618 KM       |    3     
  28  |               Dhaulpur                 |        DHO         |     05:50     |     05:52     |     2:00      |      1646 KM       |    3     
  29  |              Agra Cantt                |        AGC         |     07:00     |     07:08     |     8:00      |      1698 KM       |    3     
  30  |             Raja Ki Mandi              |        RKM         |     07:17     |     07:19     |     2:00      |      1702 KM       |    3     
  31  |                Etawah                  |        ETW         |     09:23     |     09:25     |     2:00      |      1819 KM       |    3     
  32  |            Kanpur Central              |        CNB         |     11:50     |     12:10     |     20:00     |      1957 KM       |    3     
  33  |              Lucknow Ne                |        LJN         |     13:35     |     14:00     |     25:00     |      2030 KM       |    3     
  34  |             Badshahnagar               |        BNZ         |     14:23     |     14:25     |     2:00      |      2042 KM       |    3     
  35  |          Barabanki Junction            |        BBK         |     15:03     |     15:05     |     2:00      |      2066 KM       |    3     
  36  |            Gonda Junction              |         GD         |     16:35     |     16:50     |     15:00     |      2155 KM       |    3     
  37  |                 Basti                  |        BST         |     18:15     |     18:20     |     5:00      |      2244 KM       |    3     
  38  |          Gorakhpur Junction            |        GKP         |     20:00     |     Ends      |       -       |      2309 KM       |    3     
