  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |            Chennai Central             |        MAS         |     Start     |     14:40     |       -       |        0 KM        |    1     
  2   |                Ongole                  |        OGL         |     18:59     |     19:00     |     1:00      |       292 KM       |    1     
  3   |          Vijayawada Junction           |        BZA         |     21:40     |     21:55     |     15:00     |       431 KM       |    1     
  4   |              Rajamundry                |        RJY         |     00:11     |     00:13     |     2:00      |       580 KM       |    2     
  5   |             Vishakapatnam              |        VSKP        |     04:10     |     04:30     |     20:00     |       781 KM       |    2     
  6   |         Vizianagram Junction           |        VZM         |     05:25     |     05:30     |     5:00      |       842 KM       |    2     
  7   |               Brahmapur                |        BAM         |     08:40     |     08:42     |     2:00      |      1058 KM       |    2     
  8   |         Khurda Road Junction           |        KUR         |     10:40     |     10:55     |     15:00     |      1204 KM       |    2     
  9   |              Bhubaneswar               |        BBS         |     11:15     |     11:20     |     5:00      |      1223 KM       |    2     
  10  |                Cuttack                 |        CTC         |     11:53     |     11:55     |     2:00      |      1251 KM       |    2     
  11  |             Jajpur K Road              |        JJKR        |     12:42     |     12:43     |     1:00      |      1323 KM       |    2     
  12  |          Kharagpur Junction            |        KGP         |     15:37     |     15:47     |     10:00     |      1547 KM       |    2     
  13  |               Panskura                 |        PKU         |     16:27     |     16:28     |     1:00      |      1592 KM       |    2     
  14  |                Tamluk                  |        TMZ         |     16:54     |     16:55     |     1:00      |      1616 KM       |    2     
  15  |                Haldia                  |        HLZ         |     18:10     |     Ends      |       -       |      1661 KM       |    2     
