  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |                 Delhi                  |        DLI         |     Start     |     22:55     |       -       |        0 KM        |    1     
  2   |              Subzi Mandi               |        SZM         |     23:06     |     23:08     |     2:00      |        3 KM        |    1     
  3   |                 Badli                  |        BHD         |     23:21     |     23:23     |     2:00      |       14 KM        |    1     
  4   |                Narela                  |        NUR         |     23:41     |     23:43     |     2:00      |       26 KM        |    1     
  5   |                Sonipat                 |        SNP         |     00:01     |     00:03     |     2:00      |       44 KM        |    2     
  6   |                Ganaur                  |        GNU         |     00:16     |     00:18     |     2:00      |       60 KM        |    2     
  7   |               Samalkha                 |        SMK         |     00:31     |     00:33     |     2:00      |       72 KM        |    2     
  8   |           Panipat Junction             |        PNP         |     00:51     |     00:53     |     2:00      |       89 KM        |    2     
  9   |                Karnal                  |        KUN         |     01:18     |     01:20     |     2:00      |       123 KM       |    2     
  10  |         Kurukshetra Junction           |        KKDE        |     01:48     |     01:50     |     2:00      |       156 KM       |    2     
  11  |         Ambala Cant Junction           |        UMB         |     02:55     |     03:05     |     10:00     |       198 KM       |    2     
  12  |              Ambala City               |        UBC         |     03:17     |     03:19     |     2:00      |       205 KM       |    2     
  13  |           Rajpura Junction             |        RPJ         |     03:36     |     03:38     |     2:00      |       226 KM       |    2     
  14  |           Sirhind Junction             |        SIR         |     04:05     |     04:10     |     5:00      |       251 KM       |    2     
  15  |            Fatehgarh Sahib             |        FGSB        |     04:14     |     04:16     |     2:00      |       255 KM       |    2     
  16  |            Bassi Pathanam              |        BSPN        |     04:22     |     04:24     |     2:00      |       259 KM       |    2     
  17  |                Morinda                 |        MRND        |     04:41     |     04:43     |     2:00      |       275 KM       |    2     
  18  |                Kurali                  |        KRLI        |     04:53     |     04:55     |     2:00      |       283 KM       |    2     
  19  |               Rupnagar                 |        RPAR        |     05:16     |     05:21     |     5:00      |       299 KM       |    2     
  20  |               Ghanauli                 |        GANL        |     05:29     |     05:31     |     2:00      |       308 KM       |    2     
  21  |            Kiratpur Sahib              |        KART        |     05:50     |     05:52     |     2:00      |       327 KM       |    2     
  22  |            Anandpur Sahib              |        ANSB        |     06:16     |     06:18     |     2:00      |       335 KM       |    2     
  23  |              Nangal Dam                |        NLDM        |     06:55     |     07:05     |     10:00     |       355 KM       |    2     
  24  |              Naya Nangal               |        NNGL        |     07:09     |     07:11     |     2:00      |       358 KM       |    2     
  25  |              Raimehatpur               |        MTPR        |     07:19     |     07:21     |     2:00      |       361 KM       |    2     
  26  |             Una Himachal               |        UHL         |     07:38     |     07:40     |     2:00      |       371 KM       |    2     
  27  |             Amb  Andaura               |        AADR        |     08:30     |     Ends      |       -       |       399 KM       |    2     
