  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |              Kanyakumari               |        CAPE        |     Start     |     14:10     |       -       |        0 KM        |    1     
  2   |          Nagercoil Junction            |        NCJ         |     14:30     |     14:35     |     5:00      |       16 KM        |    1     
  3   |              Kulitthurai               |        KZT         |     15:14     |     15:15     |     1:00      |       49 KM        |    1     
  4   |            Trivandrum Cntl             |        TVC         |     15:55     |     16:00     |     5:00      |       87 KM        |    1     
  5   |            Kollam Junction             |        QLN         |     17:00     |     17:05     |     5:00      |       152 KM       |    1     
  6   |          Kayankulam Junction           |        KYJ         |     17:34     |     17:36     |     2:00      |       192 KM       |    1     
  7   |              Chengannur                |        CNGR        |     17:56     |     17:58     |     2:00      |       213 KM       |    1     
  8   |               Tiruvalla                |        TRVL        |     18:06     |     18:08     |     2:00      |       222 KM       |    1     
  9   |               Kottayam                 |        KTYM        |     18:52     |     18:55     |     3:00      |       247 KM       |    1     
  10  |            Ernakulam Town              |        ERN         |     20:35     |     20:40     |     5:00      |       310 KM       |    1     
  11  |                 Aluva                  |        AWY         |     21:00     |     21:02     |     2:00      |       326 KM       |    1     
  12  |                Thrisur                 |        TCR         |     22:03     |     22:05     |     2:00      |       381 KM       |    1     
  13  |              Ottappalam                |        OTP         |     23:18     |     23:20     |     2:00      |       427 KM       |    1     
  14  |               Palakkad                 |        PGT         |     23:52     |     23:55     |     3:00      |       458 KM       |    1     
  15  |          Coimbatore Junction           |        CBE         |     01:20     |     01:25     |     5:00      |       513 KM       |    2     
  16  |               Tiruppur                 |        TUP         |     02:08     |     02:10     |     2:00      |       563 KM       |    2     
  17  |            Erode Junction              |         ED         |     03:20     |     03:30     |     10:00     |       613 KM       |    2     
  18  |            Salem Junction              |         SA         |     04:25     |     04:30     |     5:00      |       676 KM       |    2     
  19  |              Jolarpettai               |        JTJ         |     06:08     |     06:10     |     2:00      |       796 KM       |    2     
  20  |           Katpadi Junction             |        KPD         |     07:23     |     07:25     |     2:00      |       879 KM       |    2     
  21  |                Chittor                 |        CTO         |     08:07     |     08:08     |     1:00      |       912 KM       |    2     
  22  |               Tirupati                 |        TPTY        |     09:33     |     09:35     |     2:00      |       984 KM       |    2     
  23  |          Renigunta Junction            |         RU         |     09:50     |     10:00     |     10:00     |       994 KM       |    2     
  24  |            Gudur Junction              |        GDR         |     11:38     |     11:40     |     2:00      |      1077 KM       |    2     
  25  |                Nellore                 |        NLR         |     12:05     |     12:06     |     1:00      |      1115 KM       |    2     
  26  |                Ongole                  |        OGL         |     13:44     |     13:45     |     1:00      |      1231 KM       |    2     
  27  |            Tenali Junction             |        TEL         |     15:04     |     15:06     |     2:00      |      1338 KM       |    2     
