  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |                 Delhi                  |        DLI         |     Start     |     20:10     |       -       |        0 KM        |    1     
  2   |              Subzi Mandi               |        SZM         |     20:21     |     20:23     |     2:00      |        3 KM        |    1     
  3   |                Narela                  |        NUR         |     20:44     |     20:46     |     2:00      |       26 KM        |    1     
  4   |                Sonipat                 |        SNP         |     21:01     |     21:03     |     2:00      |       44 KM        |    1     
  5   |                Ganaur                  |        GNU         |     21:21     |     21:23     |     2:00      |       60 KM        |    1     
  6   |               Samalkha                 |        SMK         |     22:01     |     22:03     |     2:00      |       72 KM        |    1     
  7   |           Panipat Junction             |        PNP         |     22:21     |     22:23     |     2:00      |       89 KM        |    1     
  8   |                Karnal                  |        KUN         |     22:46     |     22:48     |     2:00      |       123 KM       |    1     
  9   |         Kurukshetra Junction           |        KKDE        |     23:16     |     23:18     |     2:00      |       156 KM       |    1     
  10  |         Ambala Cant Junction           |        UMB         |     00:15     |     00:25     |     10:00     |       198 KM       |    2     
  11  |           Rajpura Junction             |        RPJ         |     00:50     |     00:52     |     2:00      |       226 KM       |    2     
  12  |           Ludhiana Junction            |        LDH         |     02:12     |     02:20     |     8:00      |       311 KM       |    2     
  13  |           Phagwara Junction            |        PGW         |     02:48     |     02:50     |     2:00      |       347 KM       |    2     
  14  |            Jalandhar Cant              |        JRC         |     03:10     |     03:12     |     2:00      |       363 KM       |    2     
  15  |            Jalandhar City              |        JUC         |     03:25     |     03:50     |     25:00     |       368 KM       |    2     
  16  |              Tanda Urmar               |        TDO         |     04:37     |     04:39     |     2:00      |       410 KM       |    2     
  17  |                Dasuya                  |        DZA         |     04:53     |     04:55     |     2:00      |       425 KM       |    2     
  18  |               Mukerian                 |        MEX         |     05:13     |     05:15     |     2:00      |       441 KM       |    2     
  19  |            Pathankot Cantt             |        PTKC        |     05:53     |     05:55     |     2:00      |       480 KM       |    2     
  20  |               Pathankot                |        PTK         |     06:10     |     06:30     |     20:00     |       484 KM       |    2     
  21  |               Sujanpur                 |        SJNP        |     06:42     |     06:44     |     2:00      |       492 KM       |    2     
  22  |            Madhopur Punjab             |        MDPB        |     06:51     |     06:53     |     2:00      |       499 KM       |    2     
  23  |                Kathua                  |        KTHU        |     07:12     |     07:14     |     2:00      |       507 KM       |    2     
  24  |             Chhan Arorian              |        CHNR        |     07:36     |     07:38     |     2:00      |       527 KM       |    2     
  25  |              Chakdayala                |        CKDL        |     07:43     |     07:45     |     2:00      |       533 KM       |    2     
  26  |              Hira Nagar                |        HRNR        |     07:49     |     07:51     |     2:00      |       536 KM       |    2     
  27  |                 Samba                  |        SMBX        |     08:13     |     08:15     |     2:00      |       551 KM       |    2     
  28  |            Vijiypur Jammu              |        VJPJ        |     08:41     |     08:43     |     2:00      |       562 KM       |    2     
  29  |             Bari Brahman               |        BBMN        |     08:55     |     08:57     |     2:00      |       575 KM       |    2     
  30  |              Jammu Tawi                |        JAT         |     09:25     |     09:40     |     15:00     |       583 KM       |    2     
  31  |                MANWAL                  |        MNVL        |     10:28     |     10:30     |     2:00      |       615 KM       |    2     
  32  |               Udhampur                 |        UHP         |     10:53     |     10:55     |     2:00      |       637 KM       |    2     
