  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |               Guwahati                 |        GHY         |     Start     |     21:00     |       -       |        0 KM        |    1     
  2   |             Goalpara Town              |        GLPT        |     22:50     |     22:52     |     2:00      |       129 KM       |    1     
  3   |            New Bongaigaon              |        NBQ         |     23:53     |     23:55     |     2:00      |       209 KM       |    1     
  4   |               Kokrajhar                |        KOJ         |     00:21     |     00:22     |     1:00      |       237 KM       |    2     
  5   |            New Alipurdaur              |        NOQ         |     01:15     |     01:17     |     2:00      |       316 KM       |    2     
  6   |            New Cooch Behar             |        NCB         |     01:38     |     01:40     |     2:00      |       334 KM       |    2     
  7   |            New Jalpaiguri              |        NJP         |     03:40     |     03:55     |     15:00     |       460 KM       |    2     
  8   |              Kishanganj                |        KNE         |     04:56     |     04:58     |     2:00      |       547 KM       |    2     
  9   |              Malda Town                |        MLDT        |     08:15     |     08:25     |     10:00     |       693 KM       |    2     
  10  |           Azimganj Junction            |         AZ         |     10:18     |     10:23     |     5:00      |       807 KM       |    2     
  11  |                 Katwa                  |        KWAE        |     11:43     |     11:45     |     2:00      |       879 KM       |    2     
  12  |             Nabadwip Dham              |        NDAE        |     12:17     |     12:19     |     2:00      |       919 KM       |    2     
  13  |            Bandel Junction             |        BDC         |     13:33     |     13:35     |     2:00      |       984 KM       |    2     
  14  |                Kolkata                 |        KOAA        |     15:00     |     Ends      |       -       |      1027 KM       |    2     
