  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |            Lokmanyatilak T             |        LTT         |     Start     |     22:00     |       -       |        0 KM        |    1     
  2   |                 Thane                  |        TNA         |     22:23     |     22:25     |     2:00      |       18 KM        |    1     
  3   |            Kalyan Junction             |        KYN         |     22:45     |     22:50     |     5:00      |       38 KM        |    1     
  4   |                Kasara                  |        KSRA        |     23:53     |     23:55     |     2:00      |       105 KM       |    1     
  5   |               Igatpuri                 |        IGP         |     00:33     |     00:35     |     2:00      |       121 KM       |    2     
  6   |                Devlali                 |        DVL         |     01:18     |     01:20     |     2:00      |       166 KM       |    2     
  7   |              Nasik Road                |         NK         |     01:33     |     01:35     |     2:00      |       172 KM       |    2     
  8   |               Lasalgaon                |         LS         |     02:13     |     02:15     |     2:00      |       220 KM       |    2     
  9   |            Manmad Junction             |        MMR         |     02:40     |     02:45     |     5:00      |       245 KM       |    2     
  10  |               Nandgaon                 |        NGN         |     03:03     |     03:05     |     2:00      |       270 KM       |    2     
  11  |          Chalisgaon Junction           |        CSN         |     03:33     |     03:35     |     2:00      |       312 KM       |    2     
  12  |           Pachora Junction             |         PC         |     04:03     |     04:05     |     2:00      |       357 KM       |    2     
  13  |           Jalgaon Junction             |         JL         |     04:38     |     04:40     |     2:00      |       405 KM       |    2     
  14  |           Bhusaval Junction            |        BSL         |     05:05     |     05:15     |     10:00     |       429 KM       |    2     
  15  |               Varangaon                |        VNA         |     05:33     |     05:35     |     2:00      |       441 KM       |    2     
  16  |                Bodwad                  |        BDWD        |     05:53     |     05:55     |     2:00      |       459 KM       |    2     
  17  |               Malkapur                 |        MKU         |     06:08     |     06:10     |     2:00      |       479 KM       |    2     
  18  |                Nandura                 |         NN         |     06:33     |     06:35     |     2:00      |       507 KM       |    2     
  19  |            Jalamb Junction             |         JM         |     06:53     |     06:55     |     2:00      |       519 KM       |    2     
  20  |                Shegaon                 |        SEG         |     07:08     |     07:10     |     2:00      |       531 KM       |    2     
  21  |                 Paras                  |         PS         |     07:23     |     07:25     |     2:00      |       549 KM       |    2     
  22  |            Akola Junction              |         AK         |     07:40     |     07:45     |     5:00      |       569 KM       |    2     
  23  |              Murtajapur                |        MZR         |     08:13     |     08:15     |     2:00      |       606 KM       |    2     
