  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  2   |               Udhampur                 |        UHP         |     22:23     |     22:25     |     2:00      |       25 KM        |    1     
  3   |              Jammu Tawi                |        JAT         |     23:35     |     23:45     |     10:00     |       78 KM        |    1     
  4   |                 Samba                  |        SMBX        |     00:15     |     00:17     |     2:00      |       111 KM       |    2     
  5   |                Kathua                  |        KTHU        |     00:58     |     01:00     |     2:00      |       155 KM       |    2     
  6   |            Pathankot Cantt             |        PTKC        |     01:33     |     01:38     |     5:00      |       178 KM       |    2     
  7   |               Mukerian                 |        MEX         |     02:15     |     02:17     |     2:00      |       217 KM       |    2     
  8   |                Dasuya                  |        DZA         |     02:34     |     02:36     |     2:00      |       233 KM       |    2     
  9   |              Tanda Urmar               |        TDO         |     02:52     |     02:54     |     2:00      |       248 KM       |    2     
  10  |            Jalandhar Cant              |        JRC         |     03:45     |     03:50     |     5:00      |       291 KM       |    2     
  11  |           Phagwara Junction            |        PGW         |     04:03     |     04:05     |     2:00      |       307 KM       |    2     
  12  |           Phillaur Junction            |        PHR         |     04:24     |     04:26     |     2:00      |       329 KM       |    2     
  13  |           Ludhiana Junction            |        LDH         |     05:00     |     05:15     |     15:00     |       343 KM       |    2     
  14  |              Kila Raipur               |        QRP         |     05:32     |     05:34     |     2:00      |       360 KM       |    2     
  15  |               Ahmadgarh                |        AHH         |     05:43     |     05:45     |     2:00      |       369 KM       |    2     
  16  |              Malerkotla                |        MET         |     06:13     |     06:15     |     2:00      |       388 KM       |    2     
  17  |            Dhuri Junction              |        DUI         |     06:35     |     07:00     |     25:00     |       405 KM       |    2     
  18  |                Sangrur                 |        SAG         |     07:15     |     07:17     |     2:00      |       421 KM       |    2     
  19  |                 Sunam                  |        SFM         |     07:39     |     07:41     |     2:00      |       433 KM       |    2     
  20  |              Lehra Gaga                |        LHA         |     07:59     |     08:01     |     2:00      |       455 KM       |    2     
  21  |            Jakhal Junction             |        JHL         |     08:55     |     09:00     |     5:00      |       471 KM       |    2     
  22  |                Tohana                  |        TUN         |     09:11     |     09:13     |     2:00      |       483 KM       |    2     
  23  |           Narwana Junction             |        NRW         |     09:38     |     09:40     |     2:00      |       509 KM       |    2     
  24  |                Uchana                  |        UCA         |     09:54     |     09:56     |     2:00      |       524 KM       |    2     
  25  |                Barsola                 |        BZO         |     10:06     |     10:08     |     2:00      |       535 KM       |    2     
  26  |             Jind Junction              |        JIND        |     10:24     |     10:27     |     3:00      |       543 KM       |    2     
  27  |                Julana                  |        JNA         |     10:48     |     10:50     |     2:00      |       568 KM       |    2     
  28  |            Rohtak Junction             |        ROK         |     11:18     |     11:20     |     2:00      |       600 KM       |    2     
  29  |              Bahadurgarh               |        BGZ         |     11:53     |     11:55     |     2:00      |       640 KM       |    2     
  30  |              Shakurbasti               |        SSB         |     12:36     |     12:38     |     2:00      |       660 KM       |    2     
  31  |               New Delhi                |        NDLS        |     13:30     |     14:15     |     45:00     |       671 KM       |    2     
  32  |             H Nizamuddin               |        NZM         |     14:43     |     14:45     |     2:00      |       678 KM       |    2     
  33  |               Faridabad                |        FDB         |     15:21     |     15:23     |     2:00      |       699 KM       |    2     
  34  |              Agra Cantt                |        AGC         |     18:40     |     18:45     |     5:00      |       865 KM       |    2     
  35  |               Dhaulpur                 |        DHO         |     19:48     |     19:50     |     2:00      |       918 KM       |    2     
