  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |               Porbandar                |        PBR         |     Start     |     21:05     |       -       |        0 KM        |    1     
  2   |                Ranavav                 |        RWO         |     21:19     |     21:21     |     2:00      |       14 KM        |    1     
  3   |                Sakhpur                 |        SKR         |     21:32     |     21:34     |     2:00      |       27 KM        |    1     
  4   |              Wansjaliya                |        WSJ         |     21:43     |     21:44     |     1:00      |       34 KM        |    1     
  5   |                Bhanvad                 |        BNVD        |     22:02     |     22:04     |     2:00      |       53 KM        |    1     
  6   |                Gop Jam                 |        GOP         |     22:21     |     22:23     |     2:00      |       71 KM        |    1     
  7   |              Lalpur Jam                |        LPJ         |     22:41     |     22:43     |     2:00      |       89 KM        |    1     
  8   |               Jamnagar                 |        JAM         |     23:51     |     23:56     |     5:00      |       132 KM       |    1     
  9   |                 Hapa                   |        HAPA        |     00:06     |     00:08     |     2:00      |       141 KM       |    2     
  10  |            Rajkot Junction             |        RJT         |     01:21     |     01:26     |     5:00      |       217 KM       |    2     
  11  |           Wankaner Junction            |        WKR         |     02:04     |     02:06     |     2:00      |       259 KM       |    2     
  12  |             Than Junction              |        THAN        |     02:30     |     02:32     |     2:00      |       285 KM       |    2     
  13  |             Surendranagar              |        SUNR        |     03:10     |     03:12     |     2:00      |       333 KM       |    2     
  14  |           Viramgam Junction            |         VG         |     04:33     |     04:35     |     2:00      |       398 KM       |    2     
  15  |               Jakhvada                 |        JKA         |     04:48     |     04:50     |     2:00      |       410 KM       |    2     
  16  |               Chharodi                 |         CE         |     05:00     |     05:02     |     2:00      |       424 KM       |    2     
  17  |                Sanand                  |        SAU         |     05:11     |     05:13     |     2:00      |       435 KM       |    2     
  18  |              Ambli Road                |        ABD         |     05:22     |     05:24     |     2:00      |       447 KM       |    2     
  19  |              Chandlodiya               |        CLDY        |     05:30     |     05:32     |     2:00      |       453 KM       |    2     
  20  |          Sabarmati Junction            |        SBT         |     05:39     |     05:41     |     2:00      |       458 KM       |    2     
  21  |          Ahmedabad Junction            |        ADI         |     06:10     |     07:10     |     60:00     |       464 KM       |    2     
  22  |               Maninagar                |        MAN         |     07:20     |     07:22     |     2:00      |       467 KM       |    2     
  23  |               Barejadi                 |        BJD         |     07:43     |     07:45     |     2:00      |       480 KM       |    2     
  24  |           Mhmdvd Kheda Road            |        MHD         |     07:56     |     07:58     |     2:00      |       492 KM       |    2     
  25  |            Nadiad Junction             |         ND         |     08:13     |     08:15     |     2:00      |       509 KM       |    2     
  26  |            Kanjari Boriyav             |        KBRV        |     08:25     |     08:27     |     2:00      |       520 KM       |    2     
  27  |            Anand Junction              |        ANND        |     08:37     |     08:39     |     2:00      |       528 KM       |    2     
  28  |            Vasad Junction              |        VDA         |     09:01     |     09:03     |     2:00      |       543 KM       |    2     
  29  |           Vadodara Junction            |        BRC         |     09:37     |     09:47     |     10:00     |       563 KM       |    2     
  30  |              Vishvamitri               |         VS         |     09:54     |     09:56     |     2:00      |       566 KM       |    2     
  31  |                 Itola                  |        ITA         |     10:08     |     10:10     |     2:00      |       581 KM       |    2     
  32  |            Miyagam Karjan              |        MYG         |     10:20     |     10:22     |     2:00      |       593 KM       |    2     
  33  |                 Palej                  |        PLJ         |     10:33     |     10:35     |     2:00      |       608 KM       |    2     
  34  |                Nabipur                 |        NIU         |     10:45     |     10:47     |     2:00      |       622 KM       |    2     
  35  |           Bharuch Junction             |         BH         |     11:02     |     11:04     |     2:00      |       634 KM       |    2     
  36  |          Ankleshwar Junction           |        AKV         |     11:13     |     11:15     |     2:00      |       643 KM       |    2     
  37  |                Panoli                  |        PAO         |     11:23     |     11:25     |     2:00      |       653 KM       |    2     
  38  |           Kosamba Junction             |        KSB         |     11:33     |     11:35     |     2:00      |       661 KM       |    2     
  39  |                  Kim                   |        KIM         |     11:44     |     11:46     |     2:00      |       669 KM       |    2     
  40  |                 Sayan                  |        SYN         |     11:54     |     11:56     |     2:00      |       679 KM       |    2     
  41  |                 Surat                  |         ST         |     12:30     |     12:40     |     10:00     |       692 KM       |    2     
  42  |            Udhna Junction              |        UDN         |     12:48     |     12:50     |     2:00      |       696 KM       |    2     
  43  |                Maroli                  |        MRL         |     13:09     |     13:11     |     2:00      |       713 KM       |    2     
  44  |                Navsari                 |        NVS         |     13:20     |     13:22     |     2:00      |       722 KM       |    2     
  45  |                Amalsad                 |        AML         |     13:34     |     13:36     |     2:00      |       737 KM       |    2     
  46  |           Bilimora Junction            |        BIM         |     13:43     |     13:45     |     2:00      |       743 KM       |    2     
  47  |                Valsad                  |         BL         |     14:18     |     14:20     |     2:00      |       761 KM       |    2     
  48  |                 Pardi                  |        PAD         |     14:31     |     14:33     |     2:00      |       771 KM       |    2     
  49  |                Udvada                  |        UVD         |     14:41     |     14:43     |     2:00      |       777 KM       |    2     
  50  |                 Vapi                   |        VAPI        |     15:05     |     15:07     |     2:00      |       785 KM       |    2     
  51  |                Bhilad                  |        BLD         |     15:18     |     15:20     |     2:00      |       798 KM       |    2     
  52  |                Sanjan                  |        SJN         |     15:29     |     15:31     |     2:00      |       810 KM       |    2     
  53  |             Umbargam Road              |        UBR         |     15:43     |     15:45     |     2:00      |       815 KM       |    2     
  54  |                Gholvad                 |        GVD         |     15:55     |     15:57     |     2:00      |       824 KM       |    2     
  55  |              Dahanu Road               |        DRD         |     16:13     |     16:15     |     2:00      |       835 KM       |    2     
  56  |                Boisar                  |        BOR         |     16:31     |     16:33     |     2:00      |       856 KM       |    2     
  57  |                Palghar                 |        PLG         |     16:47     |     16:49     |     2:00      |       868 KM       |    2     
  58  |                Saphale                 |        SAH         |     17:06     |     17:08     |     2:00      |       882 KM       |    2     
  59  |                 Virar                  |         VR         |     17:32     |     17:34     |     2:00      |       899 KM       |    2     
  60  |               Borivali                 |        BVI         |     18:09     |     18:11     |     2:00      |       925 KM       |    2     
  61  |                 Dadar                  |        DDR         |     18:45     |     18:47     |     2:00      |       949 KM       |    2     
  62  |            Mumbai Central              |        BCT         |     19:15     |     Ends      |       -       |       955 KM       |    2     
