  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |                Danapur                 |        DNR         |     Start     |     12:15     |       -       |        0 KM        |    1     
  2   |                  Ara                   |        ARA         |     12:56     |     12:58     |     2:00      |       40 KM        |    1     
  3   |                 Buxar                  |        BXR         |     13:50     |     13:52     |     2:00      |       109 KM       |    1     
  4   |         Dildarnagar Junction           |        DLN         |     14:20     |     14:22     |     2:00      |       145 KM       |    1     
  5   |         Mughal Sarai Junction          |        MGS         |     15:50     |     16:05     |     15:00     |       203 KM       |    1     
  6   |           Varanasi Junction            |        BSB         |     16:45     |     17:00     |     15:00     |       219 KM       |    1     
  7   |               Bhulanpur                |        BHLP        |     17:14     |     17:15     |     1:00      |       225 KM       |    1     
  8   |             Gyanpur Road               |        GYN         |     18:15     |     18:16     |     1:00      |       279 KM       |    1     
  9   |            Allahabad City              |        ALY         |     20:08     |     20:10     |     2:00      |       341 KM       |    1     
  10  |          Allahabad Junction            |        ALD         |     20:20     |     20:48     |     28:00     |       344 KM       |    1     
  11  |                 Satna                  |        STA         |     23:45     |     23:55     |     10:00     |       521 KM       |    1     
  12  |                 Katni                  |        KTE         |     01:05     |     01:10     |     5:00      |       620 KM       |    2     
  13  |               Jabalpur                 |        JBP         |     02:40     |     02:50     |     10:00     |       710 KM       |    2     
  14  |            Itarsi Junction             |         ET         |     06:50     |     07:00     |     10:00     |       956 KM       |    2     
  15  |              Ghoradongri               |        GDYA        |     08:07     |     08:08     |     1:00      |      1026 KM       |    2     
  16  |                 Betul                  |        BZU         |     08:55     |     08:56     |     1:00      |      1062 KM       |    2     
  17  |               Pandhurna                |        PAR         |     10:10     |     10:12     |     2:00      |      1149 KM       |    2     
  18  |                Nagpur                  |        NGP         |     11:45     |     11:55     |     10:00     |      1253 KM       |    2     
  19  |               Sevagram                 |        SEGM        |     12:54     |     12:56     |     2:00      |      1329 KM       |    2     
  20  |              Chandrapur                |         CD         |     14:30     |     14:31     |     1:00      |      1450 KM       |    2     
  21  |              Balharshah                |        BPQ         |     15:25     |     15:35     |     10:00     |      1464 KM       |    2     
  22  |            Sirpur Kagazngr             |        SKZR        |     16:25     |     16:26     |     1:00      |      1533 KM       |    2     
  23  |              Belampalli                |        BPA         |     17:02     |     17:03     |     1:00      |      1572 KM       |    2     
  24  |               Mancheral                |        MCI         |     17:17     |     17:18     |     1:00      |      1592 KM       |    2     
  25  |               Ramgundam                |        RDM         |     17:27     |     17:28     |     1:00      |      1605 KM       |    2     
  26  |              Peddapalli                |        PDPL        |     17:39     |     17:40     |     1:00      |      1623 KM       |    2     
  27  |           Kazipet Junction             |        KZJ         |     18:48     |     18:50     |     2:00      |      1698 KM       |    2     
  28  |         Secunderabad Junction          |         SC         |     21:30     |     Ends      |       -       |      1830 KM       |    2     
