  #   |                Station                 |    Station Code    |     Arr.      |     Depr.     |   Stop(Min)   |      Distance      |   Day    
  1   |              Tirunelveli               |        TEN         |     Start     |     14:45     |       -       |        0 KM        |    1     
  2   |         Maniyachchi Junction           |        MEJ         |     15:10     |     15:11     |     1:00      |       29 KM        |    1     
  3   |              Kovilpatti                |        CVP         |     15:43     |     15:45     |     2:00      |       66 KM        |    1     
  4   |                 Satur                  |        SRT         |     16:03     |     16:05     |     2:00      |       87 KM        |    1     
  5   |         Virudunagar Junction           |        VPT         |     16:23     |     16:25     |     2:00      |       114 KM       |    1     
  6   |           Madurai Junction             |        MDU         |     17:25     |     17:30     |     5:00      |       157 KM       |    1     
  7   |            Kodaikanal Road             |        KQN         |     18:00     |     18:02     |     2:00      |       197 KM       |    1     
  8   |           Dindigul Junction            |         DG         |     18:35     |     18:40     |     5:00      |       223 KM       |    1     
  9   |            Tiruchchirapali             |        TPJ         |     20:45     |     21:00     |     15:00     |       317 KM       |    1     
  10  |         Vridhachalam Junction          |        VRI         |     22:48     |     22:50     |     2:00      |       440 KM       |    1     
  11  |          Villuparam Junction           |         VM         |     00:45     |     00:55     |     10:00     |       495 KM       |    2     
  12  |             Chengalpattu               |        CGL         |     02:55     |     03:00     |     5:00      |       598 KM       |    2     
  13  |               Tambaram                 |        TBM         |     03:28     |     03:30     |     2:00      |       628 KM       |    2     
  14  |               Mambalam                 |        MBM         |     03:48     |     03:50     |     2:00      |       646 KM       |    2     
  15  |            Chennai Egmore              |         MS         |     04:20     |     Ends      |       -       |       653 KM       |    2     
